Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,6,6,0,35,29,1,0,1,0,0
Sha Tin 6,6,5,1,28,23,7,0,6,0,0
X-Alpha 5,6,4,2,22,18,12,0,5,0,0
Fusion Squash Club 2,6,4,2,19,15,15,5,0,0,0
Energy Squash Club 1,6,3,3,19,16,14,4,7,0,0
i-Mask Advance Squash Club 5,6,3,3,18,15,15,5,9,0,0
Yuen Long District Sports Association Limited,6,3,3,18,15,15,0,10,0,0
HKIS Div 13,6,2,4,13,11,19,11,0,0,0
Energy Squash Club 2,6,2,4,13,11,19,8,1,0,0
Kinetic 4,6,2,4,12,10,20,2,2,0,0
SocGen Squash,6,1,5,12,11,19,6,0,0,0
Happy Squash 4,6,1,5,7,6,24,0,0,0,0
