Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,6,5,1,27,22,8,0,1,0,0
Royal Hong Kong Yacht Club Div 13,6,5,1,26,21,9,0,3,0,0
Greenfield,6,5,1,24,19,11,0,1,0,0
TNG 2,5,4,1,20,16,9,3,1,0,0
Squashathon PLZ,6,2,4,17,15,15,0,2,0,0
North District Sports Association 2,5,3,2,16,13,12,0,0,0,0
Arctic Circle,5,3,2,16,13,12,0,0,0,0
Vitality Squash 3,6,2,4,12,10,20,4,0,0,0
Bravo D13,5,2,3,12,10,15,1,2,0,0
Star River 3,6,1,5,10,9,21,0,0,0,0
M&M Squash,5,1,4,9,8,17,0,0,0,0
Physical Chess 4,5,0,5,9,9,16,3,1,0,0
