Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
South China Athletic Association,6,5,1,27,22,8,0,3,0,0
Alpha CUHK,6,5,1,26,21,9,0,2,0,0
Winter Warriors,6,4,2,26,22,8,4,0,0,0
North District Sports Association 1,6,5,1,25,20,10,0,2,0,0
Hong Kong Football Club 12A,6,5,1,24,19,11,0,1,0,0
Sea Bear,6,3,3,21,18,12,0,0,0,0
Star River 2,6,4,2,18,14,16,0,6,0,0
ZOMA,6,2,4,16,14,16,0,3,0,0
Hong Kong Racketlon Assoication 2,6,1,5,11,10,20,3,0,0,1
Hong Kong Football Club 12B,6,1,5,9,8,22,0,3,0,0
CSD Squash Team,6,1,5,8,8,22,11,0,1,0
Latecomers,6,0,6,4,4,26,2,0,0,0
