Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Kinetic 6,v,Mad Hatters,HK Squash Centre (HKSC),19:00,"5-0(3-1,3-0,3-1,3-0,WO)",1,10/10/2017
Head Shatin 5,v,Progressive Squash Club,Cornwall Street (CSPSC),19:00,"3-2(3-2,1-3,3-0,2-3,3-0)",1,10/10/2017
Hong Kong Fire Service 2,v,7NT,Pei Ho Street (PHSSC),19:00,"5-0(3-0,3-1,3-0,3-2,3-0)",1,10/10/2017
Kwai Tsing District Squash Club 2,v,[BYE],,,,1,10/10/2017
Progressive Squash Club,v,Hong Kong Fire Service 2,HK Squash Centre (HKSC),19:00,"3-2(1-3,3-2,0-3,3-0,3-1)",2,17/10/2017
Mad Hatters,v,Head Shatin 5,Harbour Road (HRSC),19:00,"4-1(3-0,3-0,2-3,3-1,3-0)",2,17/10/2017
Kwai Tsing District Squash Club 2,v,Kinetic 6,Cornwall Street (CSPSC),19:00,"3-2(0-3,0-3,3-2,3-2,3-0)",2,17/10/2017
7NT,v,[BYE],,,,2,17/10/2017
Head Shatin 5,v,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),19:00,"0-5(0-3,0-3,0-3,0-3,1-3)",3,24/10/2017
7NT,v,Progressive Squash Club,Cornwall Street (CSPSC),19:00,"2-3(0-3,0-3,3-0,0-3,3-2)",3,24/10/2017
Hong Kong Fire Service 2,v,Mad Hatters,Pei Ho Street (PHSSC),19:00,"4-1(0-3,3-1,3-2,3-0,3-0)",3,24/10/2017
Kinetic 6,v,[BYE],,,,3,24/10/2017
Kinetic 6,v,Head Shatin 5,HK Squash Centre (HKSC),19:00,"4-1(3-0,3-0,3-0,3-2,1-3)",4,31/10/2017
Mad Hatters,v,7NT,Harbour Road (HRSC),19:00,"5-0(3-1,3-0,3-2,3-0,3-0)",4,31/10/2017
Kwai Tsing District Squash Club 2,v,Hong Kong Fire Service 2,Cornwall Street (CSPSC),19:00,"4-1(3-0,3-0,1-3,3-0,3-0)",4,31/10/2017
Progressive Squash Club,v,[BYE],,,,4,31/10/2017
