Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Spirit 4,v,Giant 4,HK Squash Centre (HKSC),19:00,"2-3(3-1,0-3,2-3,3-0,2-3)",1,13/10/2017
Head Shatin 6,v,Dr. Squash 2,Cornwall Street (CSPSC),19:00,"2-3(2-3,3-0,1-3,3-1,0-3)",1,13/10/2017
CSD,v,Kwai Tsing District Squah Club 3,Kwun Chung (KCSC),19:00,"0-5(0-3,2-3,0-3,0-3,0-3)",1,13/10/2017
Fung King 3,v,Yuen Long JR 2,Wai Tsuen (WTSC),19:00,"1-4(0-3,2-3,0-3,1-3,3-2)",1,13/10/2017
Relay 2,v,i-Mask Advance Squash Club 13,Yuen Long Jockey Club (YLJCSC),19:00,"1-4(0-3,0-3,1-3,3-2,0-3)",1,13/10/2017
Head Shatin 6,v,Spirit 4,Cornwall Street (CSPSC),19:00,"1-4(0-3,1-3,0-3,0-3,3-2)",2,20/10/2017
Dr. Squash 2,v,i-Mask Advance Squash Club 13,Cornwall Street (CSPSC),19:00,"1-4(0-3,1-3,3-0,0-3,0-3)",2,20/10/2017
Kwai Tsing District Squah Club 3,v,Relay 2,Cornwall Street (CSPSC),19:00,"2-3(3-1,3-1,1-3,1-3,2-3)",2,20/10/2017
Giant 4,v,Fung King 3,Pei Ho Street (PHSSC),19:00,"3-2(1-3,3-0,3-0,0-3,3-0)",2,20/10/2017
Yuen Long JR 2,v,CSD,Yuen Long Jockey Club (YLJCSC),19:00,"5-0(CR,CR,CR,CR,CR)",2,20/10/2017
Spirit 4,v,Dr. Squash 2,HK Squash Centre (HKSC),19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",3,27/10/2017
i-Mask Advance Squash Club 13,v,Kwai Tsing District Squah Club 3,Cornwall Street (CSPSC),19:00,"0-5(0-3,1-3,1-3,1-3,0-3)",3,27/10/2017
CSD,v,Giant 4,Kwun Chung (KCSC),19:00,"1-4(1-3,3-0,2-3,0-3,WO)",3,27/10/2017
Fung King 3,v,Head Shatin 6,Wai Tsuen (WTSC),19:00,"3-2(3-0,3-0,3-0,1-3,0-3)",3,27/10/2017
Relay 2,v,Yuen Long JR 2,Yuen Long Jockey Club (YLJCSC),19:00,"0-5(0-3,1-3,0-3,0-3,0-3)",3,27/10/2017
Dr. Squash 2,v,Kwai Tsing District Squah Club 3,Cornwall Street (CSPSC),19:00,"1-4(0-3,0-3,0-3,0-3,3-0)",4,03/11/2017
Head Shatin 6,v,CSD,Kwun Chung (KCSC),19:00,"3-2(0-3,3-2,3-2,3-0,0-3)",4,03/11/2017
