Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club L2C,v,[BYE],,,,12,16/01/2018
Giant 2,v,Hong Kong Football Club L2C,Pei Ho Street (PHSSC),19:00,"4-0(WO,WO,WO,WO)",13,23/01/2018
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2B,Hong Kong Cricket Club (HKCC),19:00,,13,23/01/2018
Perrier Serigo Tacchini KCC L2,v,Hong Kong Football Club L2A,Kowloon Cricket Club (KCC),19:00,"2-2(3-1,3-1,1-3,1-3)",13,23/01/2018
Hong Kong Cricket Club L2,v,[BYE],,,,13,23/01/2018
Perrier Serigo Tacchini KCC L2,v,Hong Kong Football Club L2B,Kowloon Cricket Club (KCC),19:00,"2-2(1-3,3-0,3-1,0-3)",14,30/01/2018
Hong Kong Football Club L2C,v,[Withdraw] Hong Kong Cricket Club L2B,Hong Kong Football Club (HKFC),19:00,,14,30/01/2018
Hong Kong Cricket Club L2,v,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),19:00,"3-1(3-0,3-0,3-0,2-3)",14,30/01/2018
Giant 2,v,[BYE],,,,14,30/01/2018
Giant 2,v,Hong Kong Football Club L2A,Pei Ho Street (PHSSC),19:00,"4-0(3-0,3-0,3-0,3-0)",15,06/02/2018
Hong Kong Football Club L2C,v,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),19:00,"1-3(0-3,0-3,3-0,0-3)",15,06/02/2018
Hong Kong Cricket Club L2,v,[Withdraw] Hong Kong Cricket Club L2B,Hong Kong Cricket Club (HKCC),19:00,,15,06/02/2018
Perrier Serigo Tacchini KCC L2,v,[BYE],,,,15,06/02/2018
Hong Kong Football Club L2A,v,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),19:00,"2-2(3-1,0-3,1-3,3-2)",16,27/02/2018
Hong Kong Cricket Club L2,v,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),19:00,"3-1(3-0,3-0,3-1,1-3)",16,27/02/2018
Giant 2,v,Perrier Serigo Tacchini KCC L2,Pei Ho Street (PHSSC),19:00,"4-0(3-0,3-2,CR,CR)",16,27/02/2018
[Withdraw] Hong Kong Cricket Club L2B,v,[BYE],,,,16,27/02/2018
Perrier Serigo Tacchini KCC L2,v,[Withdraw] Hong Kong Cricket Club L2B,Kowloon Cricket Club (KCC),19:00,,17,06/03/2018
Giant 2,v,Hong Kong Cricket Club L2,Pei Ho Street (PHSSC),19:00,"0-4(1-3,1-3,1-3,CR)",17,06/03/2018
Hong Kong Football Club L2C,v,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),19:00,"1-3(0-3,3-1,2-3,0-3)",17,06/03/2018
Hong Kong Football Club L2B,v,[BYE],,,,17,06/03/2018
Perrier Serigo Tacchini KCC L2,v,Hong Kong Football Club L2C,Kowloon Cricket Club (KCC),19:00,"4-0(3-0,3-0,3-0,CR)",18,13/03/2018
Giant 2,v,[Withdraw] Hong Kong Cricket Club L2B,Pei Ho Street (PHSSC),19:00,,18,13/03/2018
Hong Kong Football Club L2B,v,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),19:00,"1-3(1-3,0-3,0-3,3-1)",18,13/03/2018
Hong Kong Football Club L2A,v,[BYE],,,,18,13/03/2018
Hong Kong Football Club L2B,v,Giant 2,Hong Kong Football Club (HKFC),19:00,"1-3(3-1,0-3,0-3,0-3)",19,20/03/2018
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),19:00,,19,20/03/2018
Perrier Serigo Tacchini KCC L2,v,Hong Kong Cricket Club L2,Kowloon Cricket Club (KCC),19:00,"2-2(0-3,1-3,3-0,3-0)",19,20/03/2018
Hong Kong Football Club L2C,v,[BYE],,,,19,20/03/2018
Hong Kong Football Club L2C,v,Giant 2,Hong Kong Football Club (HKFC),19:00,"1-3(3-0,1-3,1-3,0-3)",20,10/04/2018
Hong Kong Football Club L2A,v,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),19:00,"2-2(0-3,0-3,CR,CR)",20,10/04/2018
Hong Kong Football Club L2B,v,[Withdraw] Hong Kong Cricket Club L2B,Hong Kong Football Club (HKFC),19:00,,20,10/04/2018
Hong Kong Cricket Club L2,v,[BYE],,,,20,10/04/2018
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),19:00,,21,17/04/2018
Hong Kong Cricket Club L2,v,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),19:00,"4-0(3-0,3-0,3-0,3-0)",21,17/04/2018
Hong Kong Football Club L2B,v,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),19:00,"3-1(3-0,0-3,CR,CR)",21,17/04/2018
Giant 2,v,[BYE],,,,21,17/04/2018
