Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Alpha CUHK,10,8,2,45,37,13,0,2,0,0
North District Sports Association 1,10,9,1,43,34,16,0,7,0,0
Winter Warriors,10,6,4,40,34,16,4,1,0,0
Hong Kong Football Club 12A,10,8,2,38,30,20,0,3,0,0
South China Athletic Association,9,7,2,37,30,15,0,3,0,0
Sea Bear,10,5,5,34,29,21,0,3,0,0
Star River 2,10,4,6,23,19,31,0,6,0,0
ZOMA,10,3,7,23,20,30,0,4,0,0
Hong Kong Football Club 12B,10,3,7,22,19,31,0,4,0,0
Hong Kong Racketlon Assoication 2,9,3,6,20,17,28,4,1,0,1
CSD Squash Team,10,2,8,17,16,34,18,0,1,0
Latecomers,10,1,9,11,10,40,9,1,0,0
