Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5
Hong Kong Football Club M1B,16,10.477477477477478,5.5225225225225225,42.42142142142142,100.0,62.06206206206206,30.03003003003003,7.807807807807808,0.10010010010010009,0.0
Hong Kong Football Club M1A,16,11.024024024024024,4.975975975975976,39.08208208208208,99.89989989989992,31.431431431431434,49.94994994994995,18.01801801801802,0.5005005005005005,0.10010010010010009
Hong Kong Cricket Club M1B,16,8.734734734734735,7.265265265265265,33.7997997997998,98.2982982982983,6.506506506506507,19.81981981981982,66.46646646646647,5.505505505505505,1.7017017017017018
Hong Kong Cricket Club M1A,16,5.251251251251251,10.74874874874875,23.153153153153156,64.16416416416416,0.0,0.10010010010010009,4.904904904904905,59.15915915915916,35.83583583583583
Ladies Recreation Club M1,16,4.5125125125125125,11.487487487487488,21.543543543543542,37.63763763763764,0.0,0.10010010010010009,2.8028028028028027,34.73473473473474,62.36236236236237
