Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3C,Hong Kong Cricket Club,4,2024-11-01
Hong Kong Football Club L3A,i-Mask Advance Squash Club L3,Hong Kong Football Club,4,2024-11-01
Hong Kong Football Club L3B,JESSICA L3,Hong Kong Football Club,4,2024-11-01
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3A,Hong Kong Cricket Club,5,2024-11-08
JESSICA L3,Hong Kong Football Club L3C,HK Squash Centre,5,2024-11-08
Hong Kong Football Club L3B,i-Mask Advance Squash Club L3,Hong Kong Football Club,5,2024-11-08
Hong Kong Football Club L3B,Hong Kong Football Club L3A,Hong Kong Football Club,6,2024-11-15
i-Mask Advance Squash Club L3,Hong Kong Football Club L3C,Cornwall Street Squash Centre,6,2024-11-15
JESSICA L3,Hong Kong Cricket Club Rockettes,HK Squash Centre,6,2024-11-15
Hong Kong Football Club L3A,Hong Kong Football Club L3C,Hong Kong Football Club,7,2024-11-22
JESSICA L3,i-Mask Advance Squash Club L3,HK Squash Centre,7,2024-11-22
Hong Kong Football Club L3B,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,7,2024-11-22
Hong Kong Football Club L3B,Hong Kong Football Club L3C,Hong Kong Football Club,8,2024-11-29
Hong Kong Football Club L3A,JESSICA L3,Hong Kong Football Club,8,2024-11-29
Hong Kong Cricket Club Rockettes,i-Mask Advance Squash Club L3,Hong Kong Cricket Club,8,2024-11-29
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3C,Hong Kong Cricket Club,9,2024-12-13
i-Mask Advance Squash Club L3,Hong Kong Football Club L3A,Cornwall Street Squash Centre,9,2024-12-13
JESSICA L3,Hong Kong Football Club L3B,HK Squash Centre,9,2024-12-13
Hong Kong Football Club L3A,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,10,2025-01-03
Hong Kong Football Club L3C,JESSICA L3,Hong Kong Football Club,10,2025-01-03
i-Mask Advance Squash Club L3,Hong Kong Football Club L3B,Cornwall Street Squash Centre,10,2025-01-03
Hong Kong Football Club L3A,Hong Kong Football Club L3B,Hong Kong Football Club,11,2025-01-10
Hong Kong Football Club L3C,i-Mask Advance Squash Club L3,Hong Kong Football Club,11,2025-01-10
Hong Kong Cricket Club Rockettes,JESSICA L3,Hong Kong Cricket Club,11,2025-01-10
Hong Kong Football Club L3C,Hong Kong Football Club L3A,Hong Kong Football Club,12,2025-01-17
i-Mask Advance Squash Club L3,JESSICA L3,Cornwall Street Squash Centre,12,2025-01-17
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3B,Hong Kong Cricket Club,12,2025-01-17
Hong Kong Football Club L3C,Hong Kong Football Club L3B,Hong Kong Football Club,13,2025-01-24
JESSICA L3,Hong Kong Football Club L3A,HK Squash Centre,13,2025-01-24
i-Mask Advance Squash Club L3,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,13,2025-01-24
Hong Kong Football Club L3C,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,14,2025-02-07
Hong Kong Football Club L3A,i-Mask Advance Squash Club L3,Hong Kong Football Club,14,2025-02-07
Hong Kong Football Club L3B,JESSICA L3,Hong Kong Football Club,14,2025-02-07
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3A,Hong Kong Cricket Club,15,2025-02-14
Hong Kong Football Club L3C,JESSICA L3,Hong Kong Football Club,15,2025-02-14
Hong Kong Football Club L3B,i-Mask Advance Squash Club L3,Hong Kong Football Club,15,2025-02-14
Hong Kong Football Club L3B,Hong Kong Football Club L3A,Hong Kong Football Club,16,2025-02-21
i-Mask Advance Squash Club L3,Hong Kong Football Club L3C,Cornwall Street Squash Centre,16,2025-02-21
JESSICA L3,Hong Kong Cricket Club Rockettes,HK Squash Centre,16,2025-02-21
Hong Kong Football Club L3A,Hong Kong Football Club L3C,Hong Kong Football Club,17,2025-02-28
JESSICA L3,i-Mask Advance Squash Club L3,HK Squash Centre,17,2025-02-28
Hong Kong Football Club L3B,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,17,2025-02-28
Hong Kong Football Club L3B,Hong Kong Football Club L3C,Hong Kong Football Club,18,2025-03-07
Hong Kong Football Club L3A,JESSICA L3,Hong Kong Football Club,18,2025-03-07
i-Mask Advance Squash Club L3,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,18,2025-03-07
Hong Kong Football Club L3C,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19,2025-03-14
i-Mask Advance Squash Club L3,Hong Kong Football Club L3A,Cornwall Street Squash Centre,19,2025-03-14
JESSICA L3,Hong Kong Football Club L3B,HK Squash Centre,19,2025-03-14
Hong Kong Football Club L3A,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,20,2025-03-21
JESSICA L3,Hong Kong Football Club L3C,HK Squash Centre,20,2025-03-21
i-Mask Advance Squash Club L3,Hong Kong Football Club L3B,Cornwall Street Squash Centre,20,2025-03-21
