Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Dynamos Squash,21,20,1,106,86,16
Fusion Squash Club 1,20,13,7,69,56,44
X-Alpha 4,20,11,9,62,51,49
Happy Squash 3,20,10,10,55,46,54
NEXUS 3,20,8,12,54,46,54
Vitality Squash 2,20,8,12,50,43,55
MERCURY,21,7,14,46,40,65
LONGVIEW,20,4,16,38,34,65
