Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,20,19,1,97,78,22
Alpha CUHK,21,16,5,94,78,27
South China Athletic Association,20,16,4,83,67,33
Winter Warriors,20,13,7,79,66,34
Hong Kong Football Club 12A,21,15,6,78,63,42
Sea Bear,20,13,7,78,65,35
ZOMA,21,8,13,53,45,60
Star River 2,21,7,14,47,40,65
Hong Kong Football Club 12B,20,6,14,42,37,63
Hong Kong Racketlon Assoication 2,20,5,15,28,29,71
CSD Squash Team,20,2,18,19,21,79
Latecomers,20,2,18,16,21,79
