Team,Played,Won,Lost,Points
Hong Kong Cricket Club D15,6,6,0,28
Royal Hong Kong Yacht Club Div 15,6,4,2,21
Squash Busters,5,4,1,20
Squashathon X,5,3,2,18
United Services Recreation Club 4,6,2,4,18
Sha Tin 6,5,2,3,14
North District Sports Association 3,5,1,4,11
HKIS Div 15,6,0,6,0
