Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 6,6,5,1,23
i-Mask Advance Squash Club 7,6,4,2,23
Smart Squash 2,6,4,2,22
HKIS Div 13,5,3,2,19
Smart Squash 3,5,2,3,13
JSA 1,5,2,3,13
Vitality Squash 2,5,1,4,10
NEXUS 3,5,2,3,9
Bravo D13,5,1,4,8
