Team,Played,Won,Lost,Points
Happy Squash 4,6,6,0,27
Electrify Squash Div 13,6,4,2,23
Squashathon One,6,3,3,21
Kowloon Cricket Club 13,5,4,1,20
Hong Kong Football Club 13,5,3,2,19
Yuen Long District Sports Association Limited,5,2,3,10
Fusion Squash Club 3,5,1,4,9
TNG 2,5,1,4,9
Kinetic 4,5,0,5,6
