Team,Played,Won,Lost,Points
X-Alpha 1,6,5,1,31
Kowloon Cricket Club 3B,6,5,1,24
Happy Squash 1,5,3,2,17
Hong Kong Football Club 3A,6,3,3,16
NEXUS 1,5,2,3,14
United Services Recreation Club 1,6,2,4,12
Kowloon Cricket Club 3A,5,1,4,11
Hong Kong Football Club 3B,5,1,4,7
