Team,Played,Won,Lost,Points
Star River 1,6,5,1,25
Royal Hong Kong Yacht Club Div 12,6,4,2,24
Hong Kong Football Club 12A,6,3,3,18
Winter Warriors,5,3,2,18
Physical Chess 4,5,3,2,17
Hong Kong Football Club 12B,5,3,2,17
Global Squash 2,5,3,2,16
Sha Tin 5,4,2,2,12
SKCSC Div 12,6,2,4,11
Latecomers,5,1,4,8
CSD Squash Team,5,0,5,8
