Team,Played,Won,Lost,Points
Kowloon Cricket Club 2,5,4,1,24
Hong Kong Football Club 2A,5,5,0,22
Hong Kong Football Club 2B,5,2,3,15
Hong Kong Cricket Club D2,5,0,5,6
Young Player 2,4,1,3,4
