Team,Played,Won,Lost,Points
Kowloon Cricket Club 1A,6,4,2,17
Hong Kong Cricket Club D1,6,4,2,14
Hong Kong Football Club 1A,6,3,3,13
FWD,6,3,3,12
Hong Kong Football Club 1B,6,3,3,12
Kowloon Cricket Club 1B,6,1,5,4
