Team,Played,Won,Lost,Points
Kowloon Cricket Club L1A,5,4,1,14
JESSICA L1,5,3,2,11
Hong Kong Football Club L1,5,2,3,11
Kowloon Cricket Club L1B,5,2,3,8
Hong Kong Cricket Club L1,4,1,3,4
