Team,Played,Won,Lost,Points
Squashathon Junior,6,5,1,30
Dream Catchers,6,5,1,23
Happy Squash 5,6,4,2,22
TKO Junior 2,6,4,2,21
Vitality Squash 3,6,2,4,13
RC,6,3,3,12
NEXUS 4,6,1,5,9
Electrify Squash Div 15,6,0,6,9
