Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club M1A,Gray Jonathan (6),Chiu Ho Fai (5),Chiu Ho Fai (100.0%)
Hong Kong Cricket Club M1B,Salahuddin (6),Salahuddin (3),Salahuddin (50.0%)
Hong Kong Football Club M1A,Soo Sean Tsung Jie (6),Soo Sean Tsung Jie (6),Soo Sean Tsung Jie (100.0%)
Hong Kong Football Club M1B,Ward Andrew (6),Ward Andrew (6),Ward Andrew (100.0%)
Squashathon M+,Ng Tsz Chun (7),Ng Tsz Chun (1),Ng Tsz Chun (14.3%)
