Team,Most Games,Most Wins,Highest Win Percentage
BOSS,Wong Michael (8),Luk Raymond Yiu Fai (5),Luk Raymond Yiu Fai (71.4%)
Centre Squash,Bedouillat Vincent (8),"Bedouillat Vincent, Cheung Ka Lun Alan, Ren Jean-Philippe, Chanay Tristan (4)","Ren Jean-Philippe, Chanay Tristan (80.0%)"
HKPF Squash Team,Ko Toby Ho Yin (9),Ko Toby Ho Yin (6),Ko Toby Ho Yin (66.7%)
Hong Kong Football Club 9,"Kirpalani Shaun, Lee Lawrence Chi Hung (7)",Kirpalani Shaun (5),Wright Martin (80.0%)
Kinetic 3,Tang Keng Io (7),Tse Wai Hong (4),Tse Wai Hong (80.0%)
Kowloon Cricket Club 9,Osmund Ronnie (9),Osmund Ronnie (6),Lee Wai Hang (83.3%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (9),Woo Heng Che Stephen (5),Woo Heng Che Stephen (100.0%)
The Squash Club 2,Poon Ho Kar James (8),Poon Ho Kar James (8),"Yan Ka Ho, Poon Ho Kar James, Kan Ken Chun Kit (100.0%)"
Twister,Wong Ken Tat Tai (8),"Chan Sze Long, Lee Rachel Wing Yan (6)",Chan Sze Long (100.0%)
i-Mask Advance Squash Club 3,"Chan Ho Yu, Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (9)","Chan Ho Yu, Au Wai Lun (6)","Chan Ho Yu, Au Wai Lun (66.7%)"
