Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 6,16,12,4,59
i-Mask Advance Squash Club 7,16,10,6,57
JSA 1,16,9,7,53
Bravo D13,16,7,9,51
Smart Squash 2,16,8,8,48
HKIS Div 13,16,8,8,45
Vitality Squash 2,16,6,10,41
NEXUS 3,16,7,9,37
Smart Squash 3,16,5,11,35
