Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,15,12,3,43
Hong Kong Football Club M1B,14,11,3,42
Hong Kong Cricket Club M1A,14,6,8,29
Hong Kong Cricket Club M1B,15,5,10,21
Squashathon M+,14,2,12,9
