Team,Played,Won,Lost,Points
Hong Kong Cricket Club D15,18,18,0,92
Squash Busters,18,14,4,70
United Services Recreation Club 4,18,9,9,61
Squashathon X,18,11,7,60
Royal Hong Kong Yacht Club Div 15,18,9,9,53
Sha Tin 6,18,7,11,45
North District Sports Association 3,18,4,14,36
HKIS Div 15,18,0,18,5
