Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,10,10,0,48,38,12,0,2,0,0
Hong Kong Football Club 7B,10,7,3,43,36,14,0,1,0,0
Hong Kong Football Club 7A,10,8,2,38,30,20,0,1,0,0
Thunder 1,10,6,4,31,25,25,0,3,0,0
UST,10,5,5,30,25,25,1,1,0,0
Hong Kong Cricket Club D7A,10,4,6,27,23,27,1,2,0,1
i-Mask Advance Squash Club 1,10,4,6,26,22,28,1,1,0,0
Xavier,10,3,7,25,22,28,8,0,0,0
Social Squash Team,10,4,6,23,19,31,1,0,0,0
Hong Kong Cricket Club D7B,10,3,7,23,20,30,0,1,0,0
Kinetic 1,10,1,9,15,15,35,1,1,1,0
