Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 4,10,8,2,43,35,15,0,6,0,0
Star River 1,10,8,2,43,35,15,0,4,0,0
Royal Hong Kong Yacht Club Div 12,10,7,3,43,36,14,0,0,0,1
Sha Tin 5,10,8,2,40,32,18,0,6,0,1
Winter Warriors,10,6,4,34,29,21,0,2,1,0
Global Squash 2,10,6,4,34,28,22,0,0,0,0
Hong Kong Football Club 12B,10,5,5,27,22,28,0,4,0,0
Hong Kong Football Club 12A,10,4,6,26,22,28,1,3,0,0
SKCSC Div 12,10,2,8,16,14,36,0,2,0,0
Latecomers,10,1,9,11,10,40,10,3,0,0
CSD Squash Team,10,0,10,11,12,38,19,0,1,0
