Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 14,11,9,2,53,44,11,0,1,0,0
North District Sports Association 2,11,9,2,49,40,15,0,7,0,0
The Squash Club 4,11,8,3,47,39,16,0,5,0,1
Physical Chess 5,11,8,3,45,37,18,0,0,0,0
8 Virtues + 1,11,6,5,36,31,24,3,1,1,5
TKO Junior 1,11,6,5,33,27,28,0,0,0,0
RELAY 2,11,5,6,30,25,30,1,9,0,0
Hong Kong Football Club 14,11,5,6,29,24,31,8,0,0,0
Ladies Recreation Club Div 14,11,2,9,20,19,36,3,0,1,1
TNG 3,10,4,6,18,20,30,1,0,4,0
Squash-On,10,3,7,18,15,35,8,0,0,0
Fusion Squash Club 4,11,0,11,3,4,51,0,1,1,0
