Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,11,10,1,59,49,6,0,1,0,0
Twister,11,8,3,45,37,18,0,0,0,0
Hong Kong Football Club 9,11,8,3,43,35,20,0,0,0,0
The Hong Kong Jockey Club Div 9,11,7,4,37,30,25,0,0,0,0
Centre Squash,11,7,4,36,29,26,0,2,0,0
i-Mask Advance Squash Club 3,11,6,5,32,26,29,0,0,0,0
Kowloon Cricket Club 9,11,4,7,28,24,31,0,0,0,0
Kinetic 3,11,3,8,20,17,38,0,0,0,0
HKPF Squash Team,11,1,10,17,16,39,2,0,0,0
BOSS,11,1,10,13,12,43,1,0,0,0
