Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,11,11,0,58,47,8,0,8,0,0
Hong Kong Football Club 6A,11,8,3,43,35,20,0,5,0,0
Uncles,10,6,4,34,28,22,0,0,0,0
Kowloon Cricket Club 6A,10,6,4,34,28,22,2,1,0,0
Hong Kong Football Club 6C,11,6,5,32,26,29,0,1,0,0
Ladies Recreation Club Div 6,10,6,4,30,24,26,1,4,0,0
Hong Kong Football Club 6B,10,5,5,30,25,25,0,0,0,0
Fusion Squash Club 1,10,5,5,29,24,26,10,0,0,0
Global Squash 1,10,2,8,22,20,30,0,0,0,0
X-Alpha 3,11,2,9,20,18,37,0,0,0,3
Hong Kong Cricket Club D6,10,2,8,19,17,33,0,0,0,0
Electrify Squash Div 6,10,3,7,18,18,32,9,3,3,0
