Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M4A,11,9,2,46,37,18,0,0,0,0
SKCSC M4,11,8,3,45,37,18,0,0,0,0
WAKO,11,8,3,44,36,19,0,0,0,0
Hong Kong Football Club M4B,11,6,5,35,29,26,0,0,0,0
United Services Recreation Club M4,11,4,7,35,31,24,0,0,0,0
Hong Kong Cricket Club M4,11,6,5,34,28,27,0,0,0,0
Kowloon Cricket Club M4,11,5,6,32,27,28,0,0,0,0
Hong Kong Club Blue,11,3,8,21,18,37,0,0,0,0
Bolton,11,3,8,21,18,37,0,0,0,0
Royal Hong Kong Yacht Club M4,11,3,8,17,14,41,0,0,0,0
