Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,9,9,0,52,43,2,0,1,0,0
RELAY 1,9,8,1,43,35,10,0,0,0,0
Thunder 2,10,7,3,35,28,22,0,1,0,0
Banbil,10,6,4,34,28,22,2,0,0,0
Hong Kong Cricket Club D10,10,6,4,34,28,22,0,1,0,0
United Services Recreation Club 3,10,4,6,27,23,27,0,0,0,0
Kwai Tsing District Squash Club,9,4,5,27,23,22,0,0,0,0
Mercury,9,2,7,18,16,29,0,0,0,0
Squashathon Advance,9,3,6,17,14,31,0,0,0,0
i-Mask Advance Squash Club 4,9,2,7,15,13,32,1,0,0,0
Bravo D10,10,1,9,10,9,41,1,1,0,0
