Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,11,10,1,50,40,15,0,1,0,0
X-Alpha 2,11,9,2,47,38,17,0,1,0,0
Physical Chess 1,11,9,2,42,33,22,0,3,0,0
Hong Kong Racketlon Association 1,11,6,5,36,30,25,0,0,0,0
Happy Squash 2,11,5,6,32,27,28,5,3,0,0
Uncle,10,4,6,28,24,26,0,1,0,1
The Squash Club 1,11,3,8,27,24,31,0,1,0,0
Squashathon,10,4,6,24,21,29,0,2,1,0
Hong Kong Football Club 5B,11,3,8,24,21,34,7,0,0,0
i-Mask Advance Squash Club 1,11,1,10,13,12,43,3,3,0,0
