Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club L2B,11,10,1,40,30,14,0,1,0,0
Kowloon Cricket Club L2,10,9,1,38,29,11,0,0,0,2
JESSICA L2,11,6,5,37,31,13,0,1,0,0
Hong Kong Football Club L2A,11,2,9,21,19,25,1,0,0,0
Hong Kong Cricket Club L2,10,3,7,13,10,30,0,0,0,0
Hong Kong Football Club L2C,11,2,9,9,9,35,1,0,2,0
