Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Royal Hong Kong Yacht Club Div 15,9,8,1,40,32,13
Squashathon One,9,7,2,37,30,15
Physical Chess 5,9,6,3,30,24,21
Hong Kong Cricket Club 8,11,3,8,28,25,30
HKIS Div 15,9,4,5,23,19,26
United Services Recreation Club 4,9,3,6,20,19,26
Sha Tin 7,10,2,8,18,16,34
