Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 3,9,9,0,50,41,4
Hong Kong Football Club 8,10,9,1,44,35,15
Ladies Recreation Club Div 8,9,8,1,36,29,16
Physical Chess 3,10,5,5,31,26,24
Striving Squash,11,5,6,31,26,29
Squashathon Zero,9,3,6,26,23,22
TOMCAT,10,2,8,15,13,37
i-Mask Advance Squash Club 2,9,1,8,15,14,31
Kinetic 2,9,1,8,9,8,37
