Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,11,9,2,40,31,13
Hong Kong Football Club M2A,11,9,2,36,27,17
Hong Kong Cricket Club M2A,11,6,5,28,22,22
Hong Kong Cricket Club M2B,11,5,6,27,22,22
Ladies Recreation Club M2A,11,2,9,20,18,26
Ladies Recreation Club M2B,11,2,9,13,12,32
