Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10
United Services Recreation Club 2,18,10.54954954954955,7.45045045045045,59.9039039039039,74.37437437437437,27.627627627627625,21.62162162162162,14.014014014014014,11.11111111111111,8.108108108108109,6.706706706706707,4.804804804804805,3.5035035035035036,1.8018018018018018,0.7007007007007007
Kowloon Cricket Club 6B,18,10.365365365365365,7.634634634634635,58.31831831831832,65.36536536536536,23.023023023023022,14.914914914914915,15.715715715715717,11.711711711711711,9.80980980980981,9.70970970970971,5.905905905905906,3.4034034034034035,3.903903903903904,1.9019019019019021
Kowloon Cricket Club 6A,18,9.308308308308309,8.691691691691691,57.190190190190194,57.95795795795796,17.017017017017018,17.017017017017018,12.412412412412413,11.511511511511511,10.51051051051051,8.90890890890891,7.5075075075075075,6.006006006006006,5.805805805805806,3.303303303303303
Hong Kong Cricket Club 4,18,9.115115115115115,8.884884884884885,55.3973973973974,46.14614614614615,10.21021021021021,10.91091091091091,12.412412412412413,12.612612612612612,11.21121121121121,12.012012012012011,10.81081081081081,8.108108108108109,7.4074074074074066,4.3043043043043046
Friend Club 3,18,8.991991991991991,9.008008008008009,54.06306306306306,41.04104104104104,6.506506506506507,9.30930930930931,12.612612612612612,12.612612612612612,12.212212212212211,9.50950950950951,11.711711711711711,11.21121121121121,8.408408408408409,5.905905905905906
Hong Kong Football Club 6A,18,8.92092092092092,9.07907907907908,53.748748748748746,36.53653653653654,7.107107107107106,9.70970970970971,8.90890890890891,10.81081081081081,12.012012012012011,11.11111111111111,10.71071071071071,11.611611611611613,9.50950950950951,8.508508508508509
Social Squash Team,18,8.812812812812812,9.187187187187186,52.31731731731732,29.52952952952953,4.004004004004004,7.207207207207207,8.308308308308309,10.01001001001001,10.91091091091091,11.611611611611613,12.212212212212211,12.512512512512513,12.812812812812812,10.41041041041041
Hong Kong Football Club 6B,18,8.647647647647648,9.352352352352352,50.791791791791795,20.82082082082082,2.3023023023023024,3.5035035035035036,6.206206206206207,8.80880880880881,9.60960960960961,11.11111111111111,14.314314314314313,13.113113113113112,15.115115115115115,15.915915915915916
Hong Kong Football Club 6C,18,7.671671671671672,10.328328328328329,49.85885885885886,16.916916916916918,1.9019019019019021,3.1031031031031033,5.305305305305305,6.606606606606606,8.608608608608609,10.21021021021021,11.11111111111111,15.515515515515515,17.31731731731732,20.32032032032032
Global Squash 1,18,7.616616616616617,10.383383383383384,48.410410410410414,11.31131131131131,0.3003003003003003,2.7027027027027026,4.1041041041041035,4.2042042042042045,7.007007007007007,9.10910910910911,10.91091091091091,15.015015015015015,17.917917917917915,28.72872872872873
