Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,20,19,1,97,78,22
Alpha CUHK,19,14,5,84,70,25
South China Athletic Association,19,16,3,82,66,29
Winter Warriors,20,13,7,79,66,34
Sea Bear,20,13,7,78,65,35
Hong Kong Football Club 12A,20,14,6,73,59,41
ZOMA,20,8,12,52,44,56
Star River 2,20,7,13,46,39,61
Hong Kong Football Club 12B,20,6,14,42,37,63
Hong Kong Racketlon Assoication 2,20,5,15,28,29,71
CSD Squash Team,20,2,18,19,21,79
Latecomers,20,2,18,16,21,79
