Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,5,5,0,29,24,1,0,1,0,0
Sha Tin 6,5,5,0,28,23,2,0,6,0,0
Fusion Squash Club 2,5,4,1,19,15,10,0,0,0,0
i-Mask Advance Squash Club 5,5,3,2,18,15,10,0,9,0,0
X-Alpha 5,5,3,2,16,13,12,0,1,0,0
Energy Squash Club 1,5,2,3,13,11,14,4,2,0,0
Yuen Long District Sports Association Limited,5,2,3,12,10,15,0,5,0,0
SocGen Squash,5,1,4,12,11,14,2,0,0,0
Energy Squash Club 2,5,2,3,11,9,16,7,1,0,0
HKIS Div 13,5,1,4,9,8,17,11,0,0,0
Kinetic 4,5,1,4,8,7,18,2,1,0,0
Happy Squash 4,5,1,4,5,4,21,0,0,0,0
