Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 13,5,4,1,20,16,9,0,3,0,0
Greenfield,4,4,0,18,14,6,0,1,0,0
TNG 2,4,3,1,16,13,7,3,1,0,0
TNG 1,4,3,1,15,12,8,0,1,0,0
Squashathon PLZ,5,2,3,15,13,12,0,2,0,0
Arctic Circle,4,2,2,12,10,10,0,0,0,0
Bravo D13,4,2,2,12,10,10,1,2,0,0
North District Sports Association 2,4,2,2,11,9,11,0,0,0,0
Vitality Squash 3,4,1,3,8,7,13,3,0,0,0
Star River 3,4,1,3,8,7,13,0,0,0,0
M&M Squash,4,1,3,8,7,13,0,0,0,0
Physical Chess 4,4,0,4,7,7,13,3,0,0,0
