Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
The Squash Club 3,66.66666666666666,83.33333333333334,100.0,100.0,75.0,85.0,26
North District Sports Association 1,66.66666666666666,33.33333333333333,83.33333333333334,80.0,100.0,72.66666666666666,28
Craigengower Cricket Club,80.0,60.0,50.0,33.33333333333333,100.0,64.66666666666666,19
X-Alpha 5,50.0,16.666666666666664,66.66666666666666,60.0,40.0,46.666666666666664,28
MM Squash,75.0,50.0,25.0,33.33333333333333,50.0,46.666666666666664,17
Arctic Circle,40.0,20.0,40.0,60.0,50.0,42.0,24
Squashathon SocGen,16.666666666666664,16.666666666666664,0.0,50.0,50.0,26.666666666666664,28
Star River 2,16.666666666666664,16.666666666666664,33.33333333333333,16.666666666666664,40.0,24.666666666666664,29
Greenfield,20.0,40.0,40.0,0.0,0.0,20.0,25
