Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,18,16,2,86,70,20,0,7,0,1
Hong Kong Football Club 5A,18,16,2,85,69,21,0,1,0,1
Physical Chess 1,18,14,4,73,59,31,0,4,0,0
Hong Kong Racketlon Association 1,18,8,10,51,43,47,0,0,0,0
Happy Squash 2,18,8,10,49,42,48,5,3,1,0
Hong Kong Football Club 5B,18,7,11,47,40,50,7,3,0,0
The Squash Club 1,18,6,12,47,41,49,1,1,0,0
Squashathon,18,7,11,42,37,53,0,2,2,0
Uncle,18,7,11,40,36,54,0,2,0,1
i-Mask Advance Squash Club 1,18,1,17,14,13,77,13,3,0,0
