Home Team,Away Team,Venue,Match Week,Date
Star River 2,Arctic Circle,Kwun Chung Sports Centre,3,2025-10-17
Arctic Circle,Greenfield,Cornwall Street Squash Centre,6,2025-11-07
Star River 2,The Squash Club 3,Kwun Chung Sports Centre,6,2025-11-07
Star River 2,Greenfield,Kwun Chung Sports Centre,8,2025-11-21
The Squash Club 3,North District Sports Association 1,Pei Ho Street Sports Centre,8,2025-11-21
Squashathon SocGen,MM Squash,Harbour Road Sports Centre,9,2025-11-28
North District Sports Association 1,Craigengower Cricket Club,Cornwall Street Squash Centre,11,2025-12-19
Star River 2,X-Alpha 5,Kwun Chung Sports Centre,11,2025-12-19
Arctic Circle,Star River 2,Cornwall Street Squash Centre,12,2026-01-09
Star River 2,MM Squash,Kwun Chung Sports Centre,13,2026-01-16
Greenfield,Arctic Circle,Cornwall Street Squash Centre,15,2026-01-30
Star River 2,North District Sports Association 1,Kwun Chung Sports Centre,16,2026-02-06
Arctic Circle,Craigengower Cricket Club,Pei Ho Street Sports Centre,16,2026-02-06
Greenfield,Star River 2,Cornwall Street Squash Centre,17,2026-02-13
North District Sports Association 1,The Squash Club 3,Pei Ho Street Sports Centre,17,2026-02-13
Star River 2,Craigengower Cricket Club,Kwun Chung Sports Centre,18,2026-03-06
MM Squash,Squashathon SocGen,HK Squash Centre,18,2026-03-06
Arctic Circle,X-Alpha 5,Pei Ho Street Sports Centre,18,2026-03-06
