Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,7,5,2,22,17,4
Hong Kong Football Club M1A,6,5,1,16,11,7
Hong Kong Cricket Club M1B,6,3,3,11,8,10
Hong Kong Cricket Club M1A,7,2,5,9,7,14
Ladies Recreation Club M1,6,1,5,6,5,13
