Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Electrify Squash Div 13,22,21,1,112,91,19
Sha Tin 6,22,15,7,84,69,41
Fusion Squash Club 2,22,16,6,79,63,47
X-Alpha 5,22,13,9,74,66,43
SocGen Squash,22,11,11,72,61,49
Energy Squash Club 1,22,9,13,62,54,55
Happy Squash 4,22,10,12,59,49,61
Yuen Long District Sports Association Limited,22,7,15,50,43,67
Kinetic 4,22,7,15,46,44,66
i-Mask Advance Squash Club 5,22,7,15,43,36,74
Energy Squash Club 2,22,10,12,40,48,62
HKIS Div 13,22,6,16,39,34,74
