Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier KCC L1A,15,14,1,51,0,0,0,2,37,8
Team Daphne,15,11,4,40,0,0,0,1,29,16
Young Player L1,15,10,5,39,0,0,0,2,29,16
Perrier KCC L1B,15,6,9,27,0,0,1,0,22,23
Hong Kong Football Club L1,15,2,13,12,0,0,0,1,10,35
Hong Kong Cricket L1,15,2,13,5,0,0,5,0,8,37
