Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
i-MASK Advance Squash Club 5,18,16,2,82,0,0,0,1,67,23
Razor 3,18,12,6,70,0,0,0,0,59,31
Yuen Long Squash Club,18,9,9,56,0,0,0,1,47,43
Phresh 2,18,10,8,48,0,0,1,0,39,51
Tomcat,18,7,11,41,0,0,0,0,35,55
Friend Club 4,18,3,15,36,0,0,0,0,33,57
Kinetic 2,18,6,12,35,0,0,1,0,35,55
