Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier KCC 8,20,18,2,94,0,0,0,0,77,23
i-MASK Advance Squash Club 10,20,16,4,90,0,0,0,0,74,26
SQUASHED BALLS,20,14,6,83,0,0,0,2,69,31
Honey Badger SC 2,20,15,5,76,0,0,0,0,61,39
Star River 2,20,11,9,64,0,0,0,5,53,47
Hong Kong Football Club 13,20,8,12,55,0,0,0,3,47,53
The Squash Club 3,19,7,12,47,0,0,0,0,41,54
South China Athletic Association,20,7,13,43,0,0,2,1,38,62
KTSC,20,5,15,41,0,0,1,0,37,63
Visions,20,7,13,34,0,0,1,0,36,64
Honey Badger SC 3,19,1,18,5,0,0,8,1,12,83
