Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Cricket Club L3,12,9,3,46,0,0,1,4,38,22
Hong Kong Football Club L3A,12,5,7,34,0,0,0,5,29,31
Perrier Ladies,12,8,4,29,0,0,11,0,32,28
Hong Kong Football Club L3B,12,2,10,23,0,0,0,3,21,39
