Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
GS 1,20,17,3,95,0,0,0,0,78,22
Razor 2,20,14,6,81,0,0,0,1,68,32
Hong Kong Football Club 6A,20,15,5,78,0,0,0,2,64,36
Hong Kong Football Club 6B,20,14,6,72,0,0,0,1,58,42
Head Shatin 2,20,12,8,67,0,0,0,0,55,45
i-MASK Advance Squash Club 3,19,10,9,60,0,0,0,5,50,45
Island Squash Racquet Club,20,11,9,55,0,0,7,1,51,49
Hong Kong Cricket Club 2,20,8,12,51,0,0,1,2,44,56
Perrier KCC 5,20,3,17,30,0,0,3,0,30,70
Runners,19,3,16,26,0,0,1,2,24,71
Friend Club 3,20,2,18,23,0,0,2,0,23,77
