Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
South Kwai Chung Squash Club 1,20,19,1,103,0,0,0,5,84,16
Phoenix,20,17,3,92,0,0,0,3,76,24
Kinetic 5,20,16,4,84,0,0,0,0,68,32
Invader Squash,20,14,6,84,0,0,0,0,70,30
Global 2,20,12,8,68,0,0,0,0,56,44
Bravo,20,10,10,67,0,0,0,6,57,43
Hong Kong Football Club 14,20,8,12,54,0,0,6,13,52,48
Rovers,20,7,13,45,0,0,1,3,39,61
DS,20,4,16,30,0,0,1,2,27,73
Friend Club 7,20,3,17,13,0,0,10,1,21,79
PLZ,20,0,20,-50,0,0,15,0,0,100
