Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Tuen Mun Squash Club 1,18,16,2,86,0,0,0,1,70,20
Hong Kong Football Club 11,18,16,2,83,0,0,0,0,67,23
Twister 2,18,12,6,67,0,0,0,1,55,35
Kinetic 3,18,9,9,60,0,0,0,0,51,39
BOSS,18,5,13,43,0,0,0,1,38,52
i-MASK Advance Squash Club 8,18,9,9,42,0,0,0,0,38,52
Hong Kong Cricket Club 5,18,8,10,40,0,0,4,5,40,50
PCCW,18,5,13,39,0,0,0,0,35,55
Flash 1,18,10,8,37,0,0,0,4,52,38
Unique Squash 1,18,0,18,-4,0,0,8,0,4,86
