Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Royal Hong Kong Yacht Club M1,21,17,4,78,0,0,0,0,61,23
Hong Kong Cricket Club M1,21,16,5,71,0,0,0,8,55,29
HK Club Gold,21,14,7,68,0,0,0,0,54,30
Hong Kong Football Club M1A,21,12,9,50,0,0,2,0,40,44
Sovereign Group LRC Master 1,21,8,13,50,0,0,2,0,45,39
CWB M1,21,6,15,39,0,0,0,0,33,51
Discovery Bay Masters,21,7,14,24,0,0,8,6,25,59
Hong Kong Football Club M1B,21,4,17,21,0,0,4,2,23,61
