Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Tuen Mun Squash Club 2,22,19,3,98,0,0,0,4,79,31
Real Neo-Active Club,22,17,5,87,0,0,0,6,70,40
Star River 3,22,15,7,85,0,0,0,5,70,40
KWTDSC 1,22,14,8,85,0,0,0,5,71,39
United Services Recreation Club 5,22,12,10,81,0,0,0,5,69,41
Royal Hong Kong Yacht Club 15,22,15,7,77,0,0,0,5,62,48
Progressive Squash Club,22,13,9,66,0,0,0,3,55,55
ZOMA 2,22,9,13,59,0,0,0,9,50,60
Kinetic 6,21,6,15,40,0,0,3,1,38,67
Squashaholic,22,4,18,38,0,0,10,1,44,66
7NT,22,5,17,35,0,0,0,3,30,80
Flash 2,21,2,19,-15,0,0,34,0,17,88
