Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
KYS 1,16,14,2,76,0,0,0,3,62,18
i-MASK Advance Squash Club 12,16,11,5,68,0,0,0,1,57,23
Dragonfly,16,13,3,64,0,0,1,1,52,28
Head Shatin 6,16,11,5,62,0,0,0,2,51,29
South Kwai Chung Squash Club 2,16,7,9,44,0,0,1,1,38,42
Citra Squash Team,16,7,9,37,0,0,5,0,35,45
Novice,16,6,10,37,0,0,1,1,32,48
Fung King 3,16,3,13,27,0,0,1,1,26,54
Friend Club 8,16,0,16,6,0,0,1,0,7,73
