Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 11,19,15,4,82,67,28,0,1,0,0
i-Mask Advance Squash Club 5,19,15,4,76,61,34,0,0,0,0
GMDBB,18,14,4,72,58,32,0,0,0,0
The Zero Squash Club D11,18,14,4,71,57,33,0,0,0,0
7NT,19,13,6,71,58,37,0,1,0,0
Alpha CUHK,18,14,4,70,57,33,0,2,0,0
Sea Bear,20,6,14,45,39,61,1,0,0,0
South China Athletic Association,19,4,15,36,33,62,4,0,1,0
ZOMA,19,4,15,35,31,64,1,2,0,0
Tuen Mun Squash Club,19,2,17,30,28,67,0,1,0,0
Invader Squash,18,3,15,29,26,64,1,0,0,1
