Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,19,19,0,108,89,6,0,6,0,0
RELAY 1,18,14,4,78,64,26,0,3,0,0
Thunder 2,19,14,5,74,60,35,0,1,0,0
Hong Kong Cricket Club D10,19,12,7,68,56,39,1,2,0,0
Kwai Tsing District Squash Club,19,10,9,62,52,43,0,1,0,0
United Services Recreation Club 3,20,10,10,61,51,49,0,0,0,0
Banbil,19,10,9,56,46,49,8,0,0,0
i-Mask Advance Squash Club 4,19,4,15,32,28,67,3,1,0,0
Mercury,19,4,15,30,26,69,3,0,0,0
Squashathon Advance,18,4,14,27,23,67,1,0,0,0
Bravo D10,19,3,16,27,25,70,1,3,0,0
