Team,Played,Won,Lost,Points
Xavier,1,1,0,5
Kowloon Cricket Club 7,1,1,0,4
The Squash Club 2,1,1,0,4
Hong Kong Football Club 7B,1,0,1,2
Physical Chess 2,1,0,1,2
Twister 2,1,0,1,1
Hong Kong Cricket Club 6,0,0,0,0
