Team,Played,Won,Lost,Points
Hong Kong Cricket Club M1B,1,1,0,3
Hong Kong Cricket Club M1A,1,0,1,1
Hong Kong Football Club M1A,0,0,0,0
Hong Kong Football Club M1B,0,0,0,0
Ladies Recreation Club M1,0,0,0,0
