Team,Played,Won,Lost,Points
Hong Kong Football Club 7A,1,1,0,5
UST,1,1,0,4
Vitality Squash 1,1,1,0,4
Kinetic 1,1,0,1,2
The Best Group 1,1,0,1,2
Hong Kong Cricket Club 5,0,0,0,0
X-Alpha 3,1,0,1,0
