Team,Played,Won,Lost,Points
The Hong Kong Jockey Club Div 10,1,1,0,6
RELAY 1,1,1,0,5
United Services Recreation Club 3,1,1,0,5
Bravo D10,1,0,1,1
Sha Tin 4,1,0,1,1
Banbil,1,0,1,0
Craigengower Cricket Club,0,0,0,0
