Team,Played,Won,Lost,Points
Friend Club,1,1,0,6
Kowloon Cricket Club 9,1,1,0,6
i-Mask Advance Squash Club 3,1,1,0,5
Kwai Tsing District Squash Club,1,1,0,4
HKPF Squash Team,1,0,1,2
The Best Group 2,1,0,1,1
Centre Squash,1,0,1,0
Hong Kong Football Club 9,1,0,1,0
