Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Dynamos Squash,1,1,0,6,5,0
Fusion Squash Club 1,1,1,0,5,4,1
MERCURY,1,1,0,4,3,2
NEXUS 3,1,1,0,4,3,2
Vitality Squash 2,1,0,1,2,2,3
X-Alpha 4,1,0,1,2,2,3
Happy Squash 3,1,0,1,1,1,4
LONGVIEW,1,0,1,0,0,5
